year,id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
1954,1252,10.0,Group Matches,Group 1,1954-06-19,0,3,BRA,YUG,Brazil,Yugoslavia,1.0,1.0,,,,,,,,,La Pontaise,,,,
1954,1238,9.0,Group Matches,Group 3,1954-06-19,0,1,AUT,TCH,Austria,Czechoslovakia,5.0,0.0,,,AUT,,,,,,Hardturm,,,,
1954,1275,11.0,Group Matches,Group 1,1954-06-19,0,1,FRA,MEX,France,Mexico,3.0,2.0,,,FRA,,,,,,Charmilles,,,,
1954,1263,13.0,Group Matches,Group 4,1954-06-20,0,1,ENG,SUI,England,Switzerland,2.0,0.0,,,ENG,,,,,,Stade de Suisse,,,,
1954,1243,16.0,Group Matches,Group 4,1954-06-20,0,1,ITA,BEL,Italy,Belgium,4.0,1.0,,,ITA,,,,,,Comunale di Cornaredo,,,,
1954,1277,14.0,Group Matches,Group 2,1954-06-20,0,1,HUN,FRG,Hungary,Germany FR,8.0,3.0,,,HUN,,,,,,St. Jakob-Park,,,,
1954,1304,15.0,Group Matches,Group 2,1954-06-20,0,1,TUR,KOR,Türkiye,Korea Republic,7.0,0.0,,,TUR,,,,,,Charmilles,,,,
1954,1284,,Group Matches,Group 2,1954-06-23,0,1,FRG,TUR,Germany FR,Türkiye,7.0,2.0,,,FRG,,,,,,Hardturm,,,,
1954,1301,,Group Matches,Group 4,1954-06-23,0,1,SUI,ITA,Switzerland,Italy,4.0,1.0,,,SUI,,,,,,St. Jakob-Park,,,,
1954,1237,19.0,Quarter-final,,1954-06-26,0,1,AUT,SUI,Austria,Switzerland,7.0,5.0,,,AUT,,,,,,La Pontaise,,,,
1954,1264,20.0,Quarter-final,,1954-06-26,0,1,URU,ENG,Uruguay,England,4.0,2.0,,,URU,,,,,,St. Jakob-Park,,,,
1954,1285,17.0,Quarter-final,,1954-06-27,0,1,FRG,YUG,Germany FR,Yugoslavia,2.0,0.0,,,FRG,,,,,,Charmilles,,,,
1954,1248,18.0,Quarter-final,,1954-06-27,0,1,HUN,BRA,Hungary,Brazil,4.0,2.0,,,HUN,,,,,,Stade de Suisse,,,,
1954,1233,21.0,Semi-final,,1954-06-30,0,1,FRG,AUT,Germany FR,Austria,6.0,1.0,,,FRG,,,,,,St. Jakob-Park,,,,
1954,1295,22.0,Semi-final,,1954-06-30,0,3,HUN,URU,Hungary,Uruguay,4.0,2.0,,,HUN,,,,,,La Pontaise,,,,
1954,1239,23.0,Match for third place,,1954-07-03,0,1,AUT,URU,Austria,Uruguay,3.0,1.0,,,AUT,,,,,,Hardturm,,,,
1954,1278,24.0,Final,,1954-07-04,0,1,FRG,HUN,Germany FR,Hungary,3.0,2.0,,,FRG,,,,,,Stade de Suisse,,,,
1958,1415,1.0,Group Matches,Group 3,1958-06-08,0,1,SWE,MEX,Sweden,Mexico,3.0,0.0,,,SWE,,,,,,Rasunda Stadium,,,,
1958,1386,3.0,Group Matches,Group 2,1958-06-08,0,1,FRA,PAR,France,Paraguay,7.0,3.0,,,FRA,,,,,,Idrottsparken,,,,
1958,1323,7.0,Group Matches,Group 1,1958-06-08,0,1,ARG,FRG,Argentina,Germany FR,1.0,3.0,,,FRG,,,,,,Malmo Stadion,,,,
1958,1372,5.0,Group Matches,Group 4,1958-06-08,0,1,URS,ENG,Soviet Union,England,2.0,2.0,,,,,,,,,Nya Ullevi,,,,
1958,1407,2.0,Group Matches,Group 3,1958-06-08,0,1,HUN,WAL,Hungary,Wales,1.0,1.0,,,,,,,,,Jarnvallen,,,,
1958,1421,8.0,Group Matches,Group 1,1958-06-08,0,1,NIR,TCH,Northern Ireland,Czechoslovakia,1.0,0.0,,,NIR,,,,,,Orjans Vall,,,,
1958,1434,4.0,Group Matches,Group 2,1958-06-08,0,1,YUG,SCO,Yugoslavia,Scotland,1.0,1.0,,,,,,,,,Arosvallen,,,,
1958,1326,6.0,Group Matches,Group 4,1958-06-08,0,1,BRA,AUT,Brazil,Austria,3.0,0.0,,,BRA,,,,,,Rimnersvallen,,,,
1958,1418,9.0,Group Matches,Group 3,1958-06-11,0,1,MEX,WAL,Mexico,Wales,1.0,1.0,,,,,,,,,Rasunda Stadium,,,,
1958,1423,10.0,Group Matches,Group 2,1958-06-11,0,1,PAR,SCO,Paraguay,Scotland,3.0,2.0,,,PAR,,,,,,Idrottsparken,,,,
1958,1324,15.0,Group Matches,Group 1,1958-06-11,0,1,ARG,NIR,Argentina,Northern Ireland,3.0,1.0,,,ARG,,,,,,Orjans Vall,,,,
1958,1332,13.0,Group Matches,Group 4,1958-06-11,0,1,URS,AUT,Soviet Union,Austria,2.0,0.0,,,URS,,,,,,Ryavallen,,,,
1958,1339,12.0,Group Matches,Group 4,1958-06-11,0,1,BRA,ENG,Brazil,England,0.0,0.0,,,,,,,,,Nya Ullevi,,,,
1958,1388,11.0,Group Matches,Group 2,1958-06-11,0,1,YUG,FRA,Yugoslavia,France,3.0,2.0,,,YUG,,,,,,Arosvallen,,,,
1958,1391,14.0,Group Matches,Group 1,1958-06-11,0,1,FRG,TCH,Germany FR,Czechoslovakia,2.0,2.0,,,,,,,,,Olympia Stadium,,,,
1958,1406,16.0,Group Matches,Group 3,1958-06-12,0,1,SWE,HUN,Sweden,Hungary,2.0,1.0,,,SWE,,,,,,Rasunda Stadium,,,,
1958,1403,18.0,Group Matches,Group 3,1958-06-15,0,1,HUN,MEX,Hungary,Mexico,4.0,0.0,,,HUN,,,,,,Jarnvallen,,,,
1958,1327,22.0,Group Matches,Group 4,1958-06-15,0,1,ENG,AUT,England,Austria,2.0,2.0,,,,,,,,,Ryavallen,,,,
1958,1344,21.0,Group Matches,Group 4,1958-06-15,0,1,BRA,URS,Brazil,Soviet Union,2.0,0.0,,,BRA,,,,,,Nya Ullevi,,,,
1958,1389,23.0,Group Matches,Group 1,1958-06-15,0,1,FRG,NIR,Germany FR,Northern Ireland,2.0,2.0,,,,,,,,,Malmo Stadion,,,,
1958,1426,19.0,Group Matches,Group 2,1958-06-15,0,1,PAR,YUG,Paraguay,Yugoslavia,3.0,3.0,,,,,,,,,Tunavallen,,,,
1958,1325,24.0,Group Matches,Group 1,1958-06-15,0,1,TCH,ARG,Czechoslovakia,Argentina,6.0,1.0,,,TCH,,,,,,Olympia Stadium,,,,
1958,1438,17.0,Group Matches,Group 3,1958-06-15,0,1,SWE,WAL,Sweden,Wales,0.0,0.0,,,,,,,,,Rasunda Stadium,,,,
