year,id_match,match_number,stage,group,home_team,away_team,date_utc,time_utc,local_date,local_time
1970,1774,16.0,Group Matches,Group 4,FRG,BUL,1970-06-07,17:00,1970-06-07,12:00
1970,1764,15.0,Group Matches,Group 3,BRA,ENG,1970-06-07,17:00,1970-06-07,12:00
1970,1880,14.0,Group Matches,Group 2,SWE,ISR,1970-06-07,17:00,1970-06-07,12:00
1970,1823,17.0,Group Matches,Group 1,URS,SLV,1970-06-10,21:00,1970-06-10,16:00
1970,1922,18.0,Group Matches,Group 2,SWE,URU,1970-06-10,21:00,1970-06-10,16:00
1970,1840,20.0,Group Matches,Group 4,FRG,PER,1970-06-10,21:00,1970-06-10,16:00
1970,1769,19.0,Group Matches,Group 3,BRA,ROU,1970-06-10,21:00,1970-06-10,16:00
1970,1813,23.0,Group Matches,Group 3,ENG,TCH,1970-06-11,21:00,1970-06-11,16:00
1970,1877,22.0,Group Matches,Group 2,ITA,ISR,1970-06-11,21:00,1970-06-11,16:00
1970,1752,21.0,Group Matches,Group 1,MEX,BEL,1970-06-11,21:00,1970-06-11,16:00
1970,1779,24.0,Group Matches,Group 4,BUL,MAR,1970-06-11,21:00,1970-06-11,16:00
1970,1925,25.0,Quarter-final,,URU,URS,1970-06-14,17:00,1970-06-14,12:00
1970,1768,27.0,Quarter-final,,BRA,PER,1970-06-14,17:00,1970-06-14,12:00
1970,1811,28.0,Quarter-final,,FRG,ENG,1970-06-14,17:00,1970-06-14,12:00
1970,1882,26.0,Quarter-final,,ITA,MEX,1970-06-14,17:00,1970-06-14,12:00
1970,1771,29.0,Semi-final,,BRA,URU,1970-06-17,21:00,1970-06-17,16:00
1970,1838,30.0,Semi-final,,ITA,FRG,1970-06-17,21:00,1970-06-17,16:00
1970,1843,31.0,Match for third place,,FRG,URU,1970-06-20,21:00,1970-06-20,16:00
1970,1765,32.0,Final,,BRA,ITA,1970-06-21,17:00,1970-06-21,12:00
1974,1986,3.0,Group Matches,Group 2,BRA,YUG,1974-06-13,15:00,1974-06-13,17:00
1974,2003,1.0,Group Matches,Group 1,FRG,CHI,1974-06-14,14:00,1974-06-14,16:00
1974,1955,2.0,Group Matches,Group 1,GDR,AUS,1974-06-14,17:30,1974-06-14,19:30
1974,2176,4.0,Group Matches,Group 2,ZAI,SCO,1974-06-14,17:30,1974-06-14,19:30
1974,1995,6.0,Group Matches,Group 3,SWE,BUL,1974-06-15,14:00,1974-06-15,16:00
1974,2098,5.0,Group Matches,Group 3,URU,NED,1974-06-15,14:00,1974-06-15,16:00
1974,2083,7.0,Group Matches,Group 4,ITA,HAI,1974-06-15,16:00,1974-06-15,18:00
1974,1952,8.0,Group Matches,Group 4,POL,ARG,1974-06-15,16:00,1974-06-15,18:00
1974,2186,11.0,Group Matches,Group 2,YUG,ZAI,1974-06-18,17:30,1974-06-18,19:30
1974,1985,12.0,Group Matches,Group 2,SCO,BRA,1974-06-18,17:30,1974-06-18,19:30
1974,1954,10.0,Group Matches,Group 1,AUS,FRG,1974-06-18,14:00,1974-06-18,16:00
1974,2004,9.0,Group Matches,Group 1,CHI,GDR,1974-06-18,17:30,1974-06-18,19:30
1974,2085,15.0,Group Matches,Group 4,HAI,POL,1974-06-19,17:30,1974-06-19,19:30
1974,2097,13.0,Group Matches,Group 3,NED,SWE,1974-06-19,17:30,1974-06-19,19:30
1974,1996,14.0,Group Matches,Group 3,BUL,URU,1974-06-19,17:30,1974-06-19,19:30
1974,1949,16.0,Group Matches,Group 4,ARG,ITA,1974-06-19,17:30,1974-06-19,19:30
1974,2062,18.0,Group Matches,Group 1,GDR,FRG,1974-06-22,17:30,1974-06-22,19:30
1974,1987,20.0,Group Matches,Group 2,ZAI,BRA,1974-06-22,14:00,1974-06-22,16:00
1974,1953,17.0,Group Matches,Group 1,AUS,CHI,1974-06-22,14:00,1974-06-22,16:00
1974,2175,19.0,Group Matches,Group 2,SCO,YUG,1974-06-22,14:00,1974-06-22,16:00
1974,1990,21.0,Group Matches,Group 3,BUL,NED,1974-06-23,14:00,1974-06-23,16:00
1974,2129,24.0,Group Matches,Group 4,POL,ITA,1974-06-23,14:00,1974-06-23,16:00
1974,2181,22.0,Group Matches,Group 3,SWE,URU,1974-06-23,14:00,1974-06-23,16:00
1974,1947,23.0,Group Matches,Group 4,ARG,HAI,1974-06-23,14:00,1974-06-23,16:00
1974,2167,28.0,Second Round,Group B,SWE,POL,1974-06-26,17:30,1974-06-26,19:30
1974,1948,26.0,Second Round,Group A,NED,ARG,1974-06-26,17:30,1974-06-26,19:30
1974,2066,27.0,Second Round,Group B,YUG,FRG,1974-06-26,14:00,1974-06-26,16:00
1974,1982,25.0,Second Round,Group A,BRA,GDR,1974-06-26,17:30,1974-06-26,19:30
1974,2170,32.0,Second Round,Group B,POL,YUG,1974-06-30,14:00,1974-06-30,16:00
1974,2067,29.0,Second Round,Group A,GDR,NED,1974-06-30,14:00,1974-06-30,16:00
1974,1945,30.0,Second Round,Group A,ARG,BRA,1974-06-30,14:00,1974-06-30,16:00
1974,2065,31.0,Second Round,Group B,FRG,SWE,1974-06-30,17:30,1974-06-30,19:30
1974,1983,34.0,Second Round,Group A,NED,BRA,1974-07-03,17:30,1974-07-03,19:30
1974,2064,35.0,Second Round,Group B,POL,FRG,1974-07-03,15:00,1974-07-03,17:00
1974,1946,33.0,Second Round,Group A,ARG,GDR,1974-07-03,17:30,1974-07-03,19:30
1974,2182,36.0,Second Round,Group B,SWE,YUG,1974-07-03,17:30,1974-07-03,19:30
1974,1984,37.0,Match for third place,,BRA,POL,1974-07-06,14:00,1974-07-06,16:00
1974,2063,38.0,Final,,NED,FRG,1974-07-07,14:00,1974-07-07,16:00
1978,2351,1.0,Group Matches,Group 2,FRG,POL,1978-06-01,18:00,1978-06-01,15:00
1978,2347,3.0,Group Matches,Group 1,ITA,FRA,1978-06-02,16:45,1978-06-02,13:45
1978,2433,4.0,Group Matches,Group 2,TUN,MEX,1978-06-02,19:45,1978-06-02,16:45
1978,2199,2.0,Group Matches,Group 1,ARG,HUN,1978-06-02,22:15,1978-06-02,19:15
1978,2253,6.0,Group Matches,Group 3,SWE,BRA,1978-06-03,16:45,1978-06-03,13:45
1978,2216,5.0,Group Matches,Group 3,AUT,ESP,1978-06-03,16:45,1978-06-03,13:45
1978,2388,8.0,Group Matches,Group 4,NED,IRN,1978-06-03,19:45,1978-06-03,16:45
1978,2451,7.0,Group Matches,Group 4,PER,SCO,1978-06-03,19:45,1978-06-03,16:45
1978,2197,9.0,Group Matches,Group 1,ARG,FRA,1978-06-06,22:15,1978-06-06,19:15
1978,2350,12.0,Group Matches,Group 2,FRG,MEX,1978-06-06,19:45,1978-06-06,16:45
1978,2396,10.0,Group Matches,Group 1,ITA,HUN,1978-06-06,16:45,1978-06-06,13:45
1978,2454,11.0,Group Matches,Group 2,POL,TUN,1978-06-06,19:45,1978-06-06,16:45
